idx,db_id,question,hardness,fail_type,gold_sql,pred_sql,error_msg
102,car_1,What is the maker of the carr produced in the earliest year and what year was it?,hard,exec_mismatch,"SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);","SELECT t1.maker, min(t2.year) FROM model_list t1 JOIN cars_data t2 ON t1.model = t2.id WHERE t2.year = (SELECT min(year) FROM cars_data)","gold=[('amc ambassador dpl', 1970), ('amc gremlin', 1970), ('amc  | pred=[(None, None)]"
103,car_1,Which distinct car models are the produced after 1980?,hard,exec_mismatch,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;,SELECT DISTINCT t1.model FROM model_list t1 JOIN cars_data t2 ON t1.model = t2.id WHERE t2.year > 1980,"gold=[('amc',), ('buick',), ('chevrolet',), ('chrysler',), ('dats | pred=[]"
104,car_1,What are the different models for the cards produced after 1980?,hard,exec_mismatch,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;,SELECT DISTINCT t1.model FROM model_list t1 JOIN cars_data t2 ON t1.modelid = t2.id WHERE t2.year > 1980,"gold=[('amc',), ('buick',), ('chevrolet',), ('chrysler',), ('dats | pred=[]"
105,car_1,How many car makers are there in each continents? List the continent name and the count.,hard,exec_error,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;","SELECT t1.continent, count(*)",no such column: t1.continent
106,car_1,What is the name of each continent and how many car makers are there in each one?,hard,exec_error,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;","SELECT t1.continent, count(*)",no such column: t1.continent
107,car_1,Which of the countries has the most car makers? List the country name.,hard,exec_mismatch,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;,SELECT t1.countryname FROM countries t1 JOIN car_makers t2 ON t1.countryname = t2.country GROUP BY t1.countryname ORDER BY COUNT(*) DESC LIMIT 1,"gold=[('japan',)] | pred=[]"
108,car_1,What is the name of the country with the most car makers?,hard,exec_mismatch,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;,SELECT t1.countryname FROM countries t1 JOIN car_makers t2 ON t1.countryname = t2.country GROUP BY t1.countryname ORDER BY COUNT(*) DESC LIMIT 1,"gold=[('japan',)] | pred=[]"
109,car_1,How many car models are produced by each maker ? Only list the count and the maker full name .,hard,exec_mismatch,"select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;","SELECT count(*), t1.fullname FROM car_makers t1 JOIN model_list t2 ON t1.maker = t2.maker GROUP BY t1.fullname","gold=[(1, 'american motor company'), (1, 'bmw'), (1, 'citroen'),  | pred=[]"
110,car_1,What is the number of car models that are produced by each maker and what is the id and full name of each maker?,hard,exec_mismatch,"SELECT Count(*) ,  T2.FullName ,  T2.id FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id GROUP BY T2.id;","SELECT count(model), car_makers.id, car_makers.fullname FROM model_list JOIN car_makers ON model_list.maker = car_makers.maker GROUP BY car_makers.id, car_makers.fullname","gold=[(1, 'american motor company', 1), (1, 'bmw', 3), (1, 'citro | pred=[]"
111,car_1,What is the accelerate of the car make amc hornet sportabout (sw)?,medium,exec_mismatch,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';,SELECT accelerate FROM car_names JOIN cars_data ON car_names.makeid = cars_data.id WHERE car_names.model = 'amc hornet sportabout (sw)',"gold=[(13.5,)] | pred=[]"
112,car_1,How much does the car accelerate that makes amc hornet sportabout (sw)?,medium,exec_mismatch,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';,SELECT accelerate FROM car_names JOIN cars_data ON car_names.makeid = cars_data.id WHERE car_names.model = 'hornet sportabout (sw)' AND car_names.make = 'amc',"gold=[(13.5,)] | pred=[]"
113,car_1,How many car makers are there in france?,medium,exec_mismatch,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,SELECT count(*) FROM car_makers t1 JOIN countries t2 ON t1.country = t2.countryname WHERE t2.countryname = 'france',"gold=[(3,)] | pred=[(0,)]"
114,car_1,What is the number of makers of care in France?,medium,exec_mismatch,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,SELECT count(*) FROM car_makers t1 JOIN countries t2 ON t1.country = t2.countryname WHERE t2.continent = 'france',"gold=[(3,)] | pred=[(0,)]"
115,car_1,How many car models are produced in the usa?,hard,exec_mismatch,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,SELECT COUNT(*) FROM car_makers t1 JOIN countries t2 ON t1.country = t2.countryname WHERE t2.continent = 'North America' AND t2.countryname = 'USA',"gold=[(13,)] | pred=[(0,)]"
116,car_1,What is the count of the car models produced in the United States?,hard,exec_mismatch,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,SELECT COUNT(*) FROM car_makers t1 JOIN countries t2 ON t1.country = t2.countryname WHERE t2.continent = 'North America',"gold=[(13,)] | pred=[(0,)]"
121,car_1,What are all the makers and models?,easy,em_only,"SELECT Maker ,  Model FROM MODEL_LIST;","SELECT maker, model FROM model_list",
122,car_1,What are the makers and models?,easy,em_only,"SELECT Maker ,  Model FROM MODEL_LIST;","SELECT maker, model FROM model_list",
123,car_1,What are the countries having at least one car maker? List name and id.,hard,exec_mismatch,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;","SELECT countryname, countryid FROM countries JOIN car_makers ON countryid = country WHERE car_makers.id IS NOT NULL","gold=[('france', 3), ('germany', 2), ('italy', 5), ('japan', 4),  | pred=[('france', 3), ('france', 3), ('france', 3), ('germany', 2)"
124,car_1,What are the names and ids of all countries with at least one car maker?,hard,exec_mismatch,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;","SELECT countryname, countryid FROM countries t1 JOIN car_makers t2 ON t1.countryname = t2.country WHERE t2.id IS NOT NULL","gold=[('france', 3), ('germany', 2), ('italy', 5), ('japan', 4),  | pred=[]"
127,car_1,What is the average weight of cars each year?,medium,exec_mismatch,"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;","SELECT year, avg(weight) FROM cars_data GROUP BY year","gold=[(2436.6552, 1980), (2453.5484, 1982), (2532.1667, 1981), (2 | pred=[(1970, 3441.3143), (1971, 2960.3448), (1972, 3237.7143), (1"
128,car_1,What is the average weight and year for each year?,medium,em_only,"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;","SELECT avg(weight), year FROM cars_data GROUP BY year",
129,car_1,Which countries in europe have at least 3 car manufacturers?,extra,em_only,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,SELECT t2.countryname FROM car_makers t1 JOIN countries t2 ON t1.country = t2.countryid JOIN continents t3 ON t2.continent = t3.contid WHERE t3.continent = 'europe' GROUP BY t2.countryname HAVING COUNT(*) >= 3,
130,car_1,What are the names of all European countries with at least 3 manufacturers?,extra,exec_mismatch,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,SELECT t2.countryname FROM car_makers t1 JOIN countries t2 ON t1.country = t2.countryid JOIN continents t3 ON t2.continent = t3.contid WHERE t3.continent = 'Europe' GROUP BY t2.countryname HAVING COUNT(t1.id) >= 3,"gold=[('france',), ('germany',)] | pred=[]"
131,car_1,What is the maximum horsepower and the make of the car models with 3 cylinders?,medium,exec_error,"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;","SELECT max(t1.horsepower), t2.make",no such column: t1.horsepower
132,car_1,What is the largest amount of horsepower for the models with 3 cylinders and what make is it?,medium,em_only,"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;","SELECT max(horsepower), make FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE cylinders = 3",
133,car_1,"Which model saves the most gasoline? That is to say, have the maximum miles per gallon.",medium,exec_error,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.mpg DESC LIMIT 1;,SELECT model FROM model_list JOIN car_names ON model_list.model = car_names.model JOIN cars_data ON car_names.makeid = cars_data.id WHERE mpg = ( SELECT MAX(mpg) FROM cars_data ),ambiguous column name: model
134,car_1,What is the car model with the highest mpg ?,medium,exec_mismatch,select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.mpg desc limit 1;,SELECT model FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE mpg = (SELECT MAX(mpg) FROM cars_data),"gold=[('citroen',)] | pred=[('amc',), ('chevrolet',), ('citroen',), ('ford',), ('ford',"
137,car_1,What is the average edispl of the cars of model volvo?,medium,em_only,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,SELECT avg(cars_data.edispl) FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid JOIN model_list ON car_names.model = model_list.model WHERE model_list.model = 'volvo',
138,car_1,What is the average edispl for all volvos?,medium,exec_mismatch,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,SELECT avg(cars_data.edispl) FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid JOIN car_makers ON car_names.makeid = car_makers.id WHERE car_makers.maker = 'volvo',"gold=[(133.5,)] | pred=[(113.0,)]"
139,car_1,What is the maximum accelerate for different number of cylinders?,medium,exec_mismatch,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;","SELECT cylinders, max(accelerate) FROM cars_data GROUP BY cylinders","gold=[(13.5, 3), (20.1, 5), (21.0, 6), (22.2, 8), (24.8, 4)] | pred=[(3, 13.5), (4, 24.8), (5, 20.1), (6, 21.0), (8, 22.2)]"
140,car_1,What is the maximum accelerate for all the different cylinders?,medium,exec_mismatch,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;","SELECT cylinders, max(accelerate) FROM cars_data GROUP BY cylinders","gold=[(13.5, 3), (20.1, 5), (21.0, 6), (22.2, 8), (24.8, 4)] | pred=[(3, 13.5), (4, 24.8), (5, 20.1), (6, 21.0), (8, 22.2)]"
141,car_1,Which model has the most version(make) of cars?,medium,em_only,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,SELECT model FROM car_names GROUP BY model ORDER BY COUNT(make) DESC LIMIT 1,
142,car_1,What model has the most different versions?,medium,exec_mismatch,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,SELECT model FROM model_list GROUP BY model ORDER BY count(*) DESC LIMIT 1,"gold=[('ford',)] | pred=[('amc',)]"
147,car_1,How many car models were produced by the maker with full name American Motor Company?,medium,exec_mismatch,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,SELECT COUNT(*) FROM car_makers t1 JOIN model_list t2 ON t1.maker = t2.maker WHERE t1.fullname = 'American Motor Company',"gold=[(1,)] | pred=[(0,)]"
148,car_1,What is the number of car models created by the car maker American Motor Company?,medium,em_only,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,SELECT COUNT(*) FROM model_list t1 JOIN car_makers t2 ON t1.maker = t2.id WHERE t2.fullname = 'American Motor Company',
149,car_1,Which makers designed more than 3 car models? List full name and the id.,hard,exec_mismatch,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;","SELECT t1.fullname, t1.id FROM car_makers t1 JOIN model_list t2 ON t1.maker = t2.maker GROUP BY t1.fullname, t1.id HAVING COUNT(t2.model) > 3","gold=[('chrysler', 6), ('general motors', 4)] | pred=[]"
150,car_1,What are the names and ids of all makers with more than 3 models?,hard,exec_mismatch,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;","SELECT t1.maker, t1.id FROM car_makers t1 JOIN model_list t2 ON t1.maker = t2.maker GROUP BY t1.maker, t1.id HAVING COUNT(t2.model) > 3","gold=[('chrysler', 6), ('general motors', 4)] | pred=[]"
151,car_1,Which distinctive models are produced by maker with the full name General Motors or weighing more than 3500?,hard,exec_mismatch,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,SELECT DISTINCT t1.model FROM model_list t1 JOIN car_makers t2 ON t1.maker = t2.maker JOIN cars_data t3 ON t1.model = t3.id WHERE t2.fullname = 'General Motors' UNION SELECT DISTINCT t1.model FROM model_list t1 JOIN cars_data t2 ON t1.model = t2.id WHERE t2.weight > 3500,"gold=[('amc',), ('buick',), ('cadillac',), ('chevrolet',), ('chry | pred=[]"
152,car_1,What are the different models created by either the car maker General Motors or weighed more than 3500?,hard,exec_mismatch,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,SELECT DISTINCT t1.model FROM model_list t1 JOIN car_names t2 ON t1.model = t2.model JOIN cars_data t3 ON t2.makeid = t3.id WHERE t1.maker = 'General Motors' UNION SELECT DISTINCT t1.model FROM model_list t1 JOIN car_names t2 ON t1.model = t2.model JOIN cars_data t3 ON t2.makeid = t3.id WHERE t3.weight > 3500,"gold=[('amc',), ('buick',), ('cadillac',), ('chevrolet',), ('chry | pred=[('amc',), ('buick',), ('cadillac',), ('chevrolet',), ('chry"
153,car_1,In which years cars were produced weighing no less than 3000 and no more than 4000 ?,easy,exec_mismatch,select distinct year from cars_data where weight between 3000 and 4000;,SELECT year FROM cars_data WHERE weight >= 3000 AND weight <= 4000,"gold=[(1970,), (1971,), (1972,), (1973,), (1974,), (1975,), (1976 | pred=[(1970,), (1970,), (1970,), (1970,), (1970,), (1970,), (1970"
154,car_1,What are the different years in which there were cars produced that weighed less than 4000 and also cars that weighted more than 3000 ?,easy,em_only,select distinct year from cars_data where weight between 3000 and 4000;,SELECT DISTINCT year FROM cars_data WHERE weight < 4000 INTERSECT SELECT DISTINCT year FROM cars_data WHERE weight > 3000,
155,car_1,What is the horsepower of the car with the largest accelerate?,easy,em_only,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,SELECT horsepower FROM cars_data WHERE accelerate = (SELECT MAX(accelerate) FROM cars_data),
156,car_1,What is the horsepower of the car with the greatest accelerate?,easy,em_only,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,SELECT horsepower FROM cars_data WHERE accelerate = (SELECT MAX(accelerate) FROM cars_data),
157,car_1,"For model volvo, how many cylinders does the car with the least accelerate have?",medium,em_only,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,SELECT cylinders FROM model_list t1 JOIN car_names t2 ON t1.model = t2.model JOIN cars_data t3 ON t2.makeid = t3.id WHERE t1.model = 'volvo' AND t3.accelerate = (SELECT MIN(accelerate) FROM model_list t1 JOIN car_names t2 ON t1.model = t2.model JOIN cars_data t3 ON t2.makeid = t3.id WHERE t1.model = 'volvo'),
158,car_1,"For a volvo model, how many cylinders does the version with least accelerate have?",medium,exec_mismatch,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,SELECT cylinders FROM model_list t1 JOIN car_names t2 ON t1.model = t2.model JOIN cars_data t3 ON t2.makeid = t3.id WHERE t1.maker = 'volvo' ORDER BY accelerate LIMIT 1,"gold=[(6,)] | pred=[]"
159,car_1,How many cars have a larger accelerate than the car with the largest horsepower?,hard,em_only,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,SELECT COUNT(*) FROM cars_data WHERE accelerate > (SELECT accelerate FROM cars_data WHERE horsepower = (SELECT MAX(horsepower) FROM cars_data)),
160,car_1,What is the number of cars with a greater accelerate than the one with the most horsepower?,hard,em_only,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,SELECT COUNT(*) FROM cars_data WHERE accelerate > (SELECT accelerate FROM cars_data WHERE horsepower = (SELECT MAX(horsepower) FROM cars_data)),
161,car_1,How many countries has more than 2 car makers ?,hard,exec_mismatch,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,SELECT count(*) FROM countries t1 JOIN car_makers t2 ON t1.countryname = t2.country GROUP BY t1.countryname HAVING count(t2.id) > 2,"gold=[(3,), (4,), (4,), (5,)] | pred=[]"
162,car_1,What is the number of countries with more than 2 car makers ?,hard,exec_mismatch,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,SELECT count(*) FROM countries t1 JOIN car_makers t2 ON t1.countryname = t2.country GROUP BY t1.countryname HAVING count(t2.id) > 2,"gold=[(3,), (4,), (4,), (5,)] | pred=[]"
165,car_1,"For the cars with 4 cylinders, which model has the largest horsepower?",medium,exec_mismatch,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,"SELECT t1.model, t2.horsepower FROM car_names t1 JOIN cars_data t2 ON t1.makeid = t2.id WHERE t2.cylinders = 4 ORDER BY t2.horsepower DESC LIMIT 1","gold=[('ford',)] | pred=[('ford', 'null')]"
166,car_1,"For all of the 4 cylinder cars, which model has the most horsepower?",medium,exec_error,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,"SELECT model, horsepower FROM cars_data WHERE cylinders = 4 ORDER BY horsepower DESC LIMIT 1",no such column: model
167,car_1,"Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name.",hard,em_only,"SELECT T2.MakeId ,  T2.Make FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Horsepower  >  (SELECT min(Horsepower) FROM CARS_DATA) AND T1.Cylinders  <=  3;","SELECT makeid, make FROM car_names WHERE model IN (SELECT model FROM model_list WHERE maker IN (SELECT id FROM car_makers)) AND makeid IN (SELECT id FROM cars_data WHERE horsepower > (SELECT MIN(horsepower) FROM cars_data) AND cylinders <= 3)",
168,car_1,"Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ?",hard,exec_error,"select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <  4;","SELECT t1.makeid, t2.make",no such column: t1.makeid
171,car_1,Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,hard,exec_mismatch,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,SELECT t1.model FROM model_list t1 JOIN car_names t2 ON t1.model = t2.model JOIN cars_data t3 ON t2.makeid = t3.id JOIN car_makers t4 ON t1.maker = t4.maker WHERE t3.weight < 3500 EXCEPT SELECT t1.model FROM model_list t1 JOIN car_names t2 ON t1.model = t2.model JOIN cars_data t3 ON t2.makeid = t3.id JOIN car_makers t4 ON t1.maker = t4.maker WHERE t4.fullname = 'Ford Motor Company',"gold=[('amc',), ('audi',), ('bmw',), ('buick',), ('chevrolet',),  | pred=[]"
172,car_1,What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company?,hard,exec_mismatch,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,SELECT DISTINCT t1.model FROM model_list t1 JOIN car_names t2 ON t1.model = t2.model JOIN cars_data t3 ON t2.makeid = t3.id JOIN car_makers t4 ON t1.maker = t4.maker WHERE t3.weight < 3500 EXCEPT SELECT DISTINCT t1.model FROM model_list t1 JOIN car_makers t2 ON t1.maker = t2.maker WHERE t2.fullname = 'Ford Motor Company',"gold=[('amc',), ('audi',), ('bmw',), ('buick',), ('chevrolet',),  | pred=[]"
173,car_1,What are the name of the countries where there is not a single car maker?,extra,exec_mismatch,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,SELECT countryname FROM countries WHERE countryname NOT IN (SELECT country FROM car_makers),"gold=[('australia',), ('brazil',), ('egypt',), ('mexico',), ('new | pred=[('australia',), ('brazil',), ('egypt',), ('france',), ('ger"
174,car_1,What are the names of the countries with no car makers?,extra,exec_mismatch,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,SELECT countryname FROM countries WHERE countryname NOT IN (SELECT country FROM car_makers),"gold=[('australia',), ('brazil',), ('egypt',), ('mexico',), ('new | pred=[('australia',), ('brazil',), ('egypt',), ('france',), ('ger"
175,car_1,Which are the car makers which produce at least 2 models and more than 3 car makers ? List the id and the maker .,extra,exec_mismatch,"select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >=  2 intersect select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model group by t1.id having count(*)  >  3;","SELECT t1.id, t1.maker FROM car_makers t1 JOIN model_list t2 ON t1.maker = t2.maker GROUP BY t1.id, t1.maker HAVING COUNT(DISTINCT t2.model) >= 2 AND COUNT(DISTINCT t1.id) > 3","gold=[(2, 'volkswagen'), (4, 'gm'), (5, 'ford'), (6, 'chrysler'), | pred=[]"
176,car_1,What are the ids and makers of all car makers that produce at least 2 models and make more than 3 cars?,extra,exec_mismatch,"SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >=  2 INTERSECT SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model GROUP BY T1.Id HAVING count(*)  >  3;","SELECT t1.id, t1.maker FROM car_makers t1 JOIN model_list t2 ON t1.maker = t2.maker GROUP BY t1.id, t1.maker HAVING COUNT(DISTINCT t2.model) > 1 AND COUNT(*) > 3","gold=[(2, 'volkswagen'), (4, 'gm'), (5, 'ford'), (6, 'chrysler'), | pred=[]"
177,car_1,What are the id and names of the countries which have more than 3 car makers or produce the 'fiat' model?,extra,exec_mismatch,"SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.countryId HAVING count(*)  >  3 UNION SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country JOIN MODEL_LIST AS T3 ON T2.Id  =  T3.Maker WHERE T3.Model  =  'fiat';","SELECT t1.countryname, t1.countryid FROM countries t1 JOIN car_makers t2 ON t1.countryname = t2.country GROUP BY t1.countryname, t1.countryid HAVING COUNT(t2.id) > 3 UNION SELECT t1.countryname, t1.countryid FROM countries t1 JOIN car_makers t2 ON t1.countryname = t2.country JOIN model_list t3 ON t2.maker = t3.maker WHERE t3.model = 'fiat'","gold=[(1, 'usa'), (2, 'germany'), (4, 'japan'), (5, 'italy')] | pred=[]"
