line_no,db_id,question,gold_sql,pred_sql,em,agg_match,sel_match,cond_match,fail_reason,gold_struct,pred_struct
556,1-1499774-5,Name the santee sisseton for wičháša,SELECT col1 FROM table WHERE col2 = 'wičháša',SELECT santee_sisseton FROM wikisql_data WHERE english_gloss = 'wičháša',False,True,True,False,"cond(gold=[[2, 0, 'wičháša']] pred=[[0, 0, 'wičháša']])","{""agg"": 0, ""sel"": 1, ""conds"": [[2, 0, ""wi\u010dh\u00e1\u0161a""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[0, 0, ""wi\u010dh\u00e1\u0161a""]], ""count_star"": false}"
557,1-1499774-5,Name the english gloss for haŋȟ’áŋna,SELECT col0 FROM table WHERE col1 = 'haŋȟ’áŋna',SELECT english_gloss FROM wikisql_data WHERE santee_sisseton = 'haŋȟ''áŋna',False,True,True,False,"cond(gold=[[1, 0, 'haŋȟ’áŋna']] pred=[[1, 0, 'haŋȟ']])","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, ""ha\u014b\u021f\u2019\u00e1\u014bna""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, ""ha\u014b\u021f""]], ""count_star"": false}"
558,1-1499774-5,Name the number of english gloss for wakȟáŋyeža,SELECT COUNT(col0) FROM table WHERE col3 = 'wakȟáŋyeža',SELECT COUNT(*) FROM wikisql_data WHERE english_gloss = 'wakȟáŋyeža',False,True,False,False,"sel(gold=0=English gloss pred=-999=COUNT(*)) | cond(gold=[[3, 0, 'wakȟáŋyeža']] pred=[[0, 0, 'wakȟáŋyeža']])","{""agg"": 3, ""sel"": 0, ""conds"": [[3, 0, ""wak\u021f\u00e1\u014bye\u017ea""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[0, 0, ""wak\u021f\u00e1\u014bye\u017ea""]], ""count_star"": true}"
559,1-15001753-1,What was the first year of the Lithuanian National Badminton Championships?,SELECT MIN(col0) FROM table,SELECT MIN(year) FROM wikisql_data,True,True,True,True,ok,"{""agg"": 2, ""sel"": 0, ""conds"": [], ""count_star"": false}","{""agg"": 2, ""sel"": 0, ""conds"": [], ""count_star"": false}"
560,1-15001753-1,How many years did aivaras kvedarauskas juozas spelveris participate in the men's doubles?,SELECT COUNT(col0) FROM table WHERE col3 = 'Aivaras Kvedarauskas Juozas Spelveris',SELECT COUNT(*) FROM wikisql_data WHERE mens_doubles = 'aivaras kvedarauskas juozas spelveris',False,True,False,True,sel(gold=0=Year pred=-999=COUNT(*)),"{""agg"": 3, ""sel"": 0, ""conds"": [[3, 0, ""aivaras kvedarauskas juozas spelveris""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[3, 0, ""aivaras kvedarauskas juozas spelveris""]], ""count_star"": true}"
561,1-15001681-1,"In 2004, where the womens singles is daniela kressig who is the mens singles",SELECT col1 FROM table WHERE col2 = 'Daniela Kressig',SELECT mens_singles FROM wikisql_data WHERE year = 2004 AND womens_singles = 'daniela kressig',False,True,True,False,"cond(gold=[[2, 0, 'daniela kressig']] pred=[[0, 0, 2004], [2, 0, 'daniela kressig']])","{""agg"": 0, ""sel"": 1, ""conds"": [[2, 0, ""daniela kressig""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[0, 0, 2004], [2, 0, ""daniela kressig""]], ""count_star"": false}"
562,1-15001681-1,What is the most current year where the women's doubles champions are astrid eidenbenz claudia jehle,SELECT MAX(col0) FROM table WHERE col4 = 'Astrid Eidenbenz Claudia Jehle',SELECT MAX(year) FROM wikisql_data WHERE womens_doubles = 'astrid eidenbenz claudia jehle',True,True,True,True,ok,"{""agg"": 1, ""sel"": 0, ""conds"": [[4, 0, ""astrid eidenbenz claudia jehle""]], ""count_star"": false}","{""agg"": 1, ""sel"": 0, ""conds"": [[4, 0, ""astrid eidenbenz claudia jehle""]], ""count_star"": false}"
563,1-15001681-1,"In the year 2006, the womens singles had no competition and the mens doubles were roland hilti kilian pfister, what were the womens doubles",SELECT col4 FROM table WHERE col2 = 'no competition' AND col3 = 'Roland Hilti Kilian Pfister' AND col0 = 2006,SELECT womens_doubles FROM wikisql_data WHERE year = 2006 AND mens_doubles = 'roland hilti kilian pfister' AND womens_singles = 'no competition',False,True,True,False,"cond(gold=[[2, 0, 'no competition']] pred=[[0, 0, 2006], [3, 0, 'roland hilti kilian pfister'], [2, 0, 'no competition']])","{""agg"": 0, ""sel"": 4, ""conds"": [[2, 0, ""no competition""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[0, 0, 2006], [3, 0, ""roland hilti kilian pfister""], [2, 0, ""no competition""]], ""count_star"": false}"
564,1-15001681-1,"In 2001, where the mens singles is armand jehle and the womens singles is michaela ritter, who are the mixed doubles",SELECT col5 FROM table WHERE col2 = 'Michaela Ritter' AND col1 = 'Armand Jehle',SELECT mixed_doubles FROM wikisql_data WHERE year = 2001 AND mens_singles = 'armand jehle' AND womens_singles = 'michaela ritter',False,True,True,False,"cond(gold=[[2, 0, 'michaela ritter']] pred=[[0, 0, 2001], [1, 0, 'armand jehle'], [2, 0, 'michaela ritter']])","{""agg"": 0, ""sel"": 5, ""conds"": [[2, 0, ""michaela ritter""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, 2001], [1, 0, ""armand jehle""], [2, 0, ""michaela ritter""]], ""count_star"": false}"
565,1-15001681-1,In 1987 who was the mens singles,SELECT col1 FROM table WHERE col0 = 1987,SELECT mens_singles FROM wikisql_data WHERE year = 1987,True,True,True,True,ok,"{""agg"": 0, ""sel"": 1, ""conds"": [[0, 0, 1987]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[0, 0, 1987]], ""count_star"": false}"
566,1-1500146-1,When is the rhel release date when scientific linux release is 3.0.4,SELECT col4 FROM table WHERE col0 = '3.0.4',SELECT rhel_release_date FROM wikisql_data WHERE scientific_linux_release = '3.0.4',True,True,True,True,ok,"{""agg"": 0, ""sel"": 4, ""conds"": [[0, 0, ""3.0.4""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[0, 0, ""3.0.4""]], ""count_star"": false}"
567,1-1500146-1,Name the delay when scientific linux release is 5.10,SELECT col5 FROM table WHERE col0 = '5.10',SELECT delay FROM wikisql_data WHERE scientific_linux_release = '5.10',True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, 5.1]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, 5.1]], ""count_star"": false}"
568,1-1500146-1,Name the scientific linux release when delay is 28d,SELECT col0 FROM table WHERE col5 = '28d',SELECT scientific_linux_release FROM wikisql_data WHERE delay = '28d',True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""28d""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""28d""]], ""count_star"": false}"
569,1-150343-3,What is the United States rank?,SELECT COUNT(col0) FROM table WHERE col1 = 'United States',SELECT rank FROM wikisql_data WHERE country_territory = 'united states',False,False,True,True,agg(gold=COUNT pred=NONE),"{""agg"": 3, ""sel"": 0, ""conds"": [[1, 0, ""united states""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, ""united states""]], ""count_star"": false}"
570,1-150343-3,What is Venezuela's total rank?,SELECT col10 FROM table WHERE col1 = 'Venezuela',SELECT rank FROM wikisql_data WHERE country_territory = 'venezuela',False,True,False,True,sel(gold=10=Total pred=0=Rank),"{""agg"": 0, ""sel"": 10, ""conds"": [[1, 0, ""venezuela""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, ""venezuela""]], ""count_star"": false}"
571,1-150343-3,What is Iceland's total?,SELECT COUNT(col10) FROM table WHERE col1 = 'Iceland',SELECT total FROM wikisql_data WHERE country_territory = 'iceland',False,False,True,True,agg(gold=COUNT pred=NONE),"{""agg"": 3, ""sel"": 10, ""conds"": [[1, 0, ""iceland""]], ""count_star"": false}","{""agg"": 0, ""sel"": 10, ""conds"": [[1, 0, ""iceland""]], ""count_star"": false}"
572,1-150343-3,Which countries have a 5th runner-up ranking is 2 and the 3rd runner-up ranking is 0,SELECT col10 FROM table WHERE col7 = 2 AND col5 = 0,SELECT country_territory FROM wikisql_data WHERE col_5th_runner_up = 2 AND col_3rd_runner_up = 0,False,True,False,False,"sel(gold=10=Total pred=1=Country/Territory) | cond(gold=[[7, 0, 2]] pred=[[7, 0, 2], [5, 0, 0]])","{""agg"": 0, ""sel"": 10, ""conds"": [[7, 0, 2]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[7, 0, 2], [5, 0, 0]], ""count_star"": false}"
573,1-1506950-4,What is the worst (highest) score?,SELECT MAX(col5) FROM table,SELECT max(score) FROM wikisql_data,True,True,True,True,ok,"{""agg"": 1, ""sel"": 5, ""conds"": [], ""count_star"": false}","{""agg"": 1, ""sel"": 5, ""conds"": [], ""count_star"": false}"
574,1-1506950-4,What days were the rounds of 66-67-70-67 recorded?,SELECT col0 FROM table WHERE col4 = '66-67-70-67',SELECT date FROM wikisql_data WHERE rounds = '66-67-70-67',True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[4, 0, ""66-67-70-67""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[4, 0, ""66-67-70-67""]], ""count_star"": false}"
575,1-1506950-4,What country hosts the tournament the open championship?,SELECT col3 FROM table WHERE col1 = 'The Open Championship',SELECT country FROM wikisql_data WHERE tournament = 'the open championship',True,True,True,True,ok,"{""agg"": 0, ""sel"": 3, ""conds"": [[1, 0, ""the open championship""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[1, 0, ""the open championship""]], ""count_star"": false}"
576,1-1506950-4,What is the worst (highest) score?,SELECT MAX(col5) FROM table,SELECT max(score) FROM wikisql_data,True,True,True,True,ok,"{""agg"": 1, ""sel"": 5, ""conds"": [], ""count_star"": false}","{""agg"": 1, ""sel"": 5, ""conds"": [], ""count_star"": false}"
577,1-1506950-4,What players finished 2nd?,SELECT col2 FROM table WHERE col7 = '2nd',SELECT player FROM wikisql_data WHERE finish = '2nd',True,True,True,True,ok,"{""agg"": 0, ""sel"": 2, ""conds"": [[7, 0, ""2nd""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[7, 0, ""2nd""]], ""count_star"": false}"
578,1-1507806-1,WHAT YEAR WAS IT WHEN THE SCORE WAS 3 & 2?,SELECT col0 FROM table WHERE col3 = '3 & 2',SELECT year FROM wikisql_data WHERE winning_score = '3 & 2',True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[3, 0, ""3 & 2""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[3, 0, ""3 & 2""]], ""count_star"": false}"
579,1-1507806-1,HOW MANY YEARS WAS IT FOR THE SCORE (76-73-79-72=300)?,SELECT COUNT(col0) FROM table WHERE col3 = '(76-73-79-72=300)',SELECT COUNT(*) FROM wikisql_data WHERE winning_score = '76-73-79-72=300',False,True,False,False,"sel(gold=0=Year pred=-999=COUNT(*)) | cond(gold=[[3, 0, '(76-73-79-72=300)']] pred=[[3, 0, '76-73-79-72=300']])","{""agg"": 3, ""sel"": 0, ""conds"": [[3, 0, ""(76-73-79-72=300)""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[3, 0, ""76-73-79-72=300""]], ""count_star"": true}"
580,1-1507806-1,WHAT WAS THE YEAR WHEN THE RUNNER-UP WAS WILLIAM MEHLHORN?,SELECT MAX(col0) FROM table WHERE col5 = 'William Mehlhorn',SELECT year FROM wikisql_data WHERE runner_up = 'william mehlhorn',False,False,True,True,agg(gold=MAX pred=NONE),"{""agg"": 1, ""sel"": 0, ""conds"": [[5, 0, ""william mehlhorn""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""william mehlhorn""]], ""count_star"": false}"
581,1-1507806-1,WHAT YEAR DID MIKE BRADY GET RUNNER-UP?,SELECT MIN(col0) FROM table WHERE col5 = 'Mike Brady',SELECT year FROM wikisql_data WHERE runner_up = 'mike brady',False,False,True,True,agg(gold=MIN pred=NONE),"{""agg"": 2, ""sel"": 0, ""conds"": [[5, 0, ""mike brady""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""mike brady""]], ""count_star"": false}"
582,1-1507806-1,WHAT WAS THE WINNING SCORE IN YEAR 1922?,SELECT col3 FROM table WHERE col0 = 1922,SELECT winning_score FROM wikisql_data WHERE year = 1922,True,True,True,True,ok,"{""agg"": 0, ""sel"": 3, ""conds"": [[0, 0, 1922]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[0, 0, 1922]], ""count_star"": false}"
583,1-1507852-5,what's the cancelable with bubbles being yes,SELECT col5 FROM table WHERE col4 = 'Yes',SELECT cancelable FROM wikisql_data WHERE bubbles = 'yes',True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[4, 0, ""yes""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[4, 0, ""yes""]], ""count_star"": false}"
584,1-1507852-5,what's the bubbles with attribute being onpopuphidden,SELECT col4 FROM table WHERE col2 = 'onpopuphidden',SELECT bubbles FROM wikisql_data WHERE attribute = 'onpopuphidden',True,True,True,True,ok,"{""agg"": 0, ""sel"": 4, ""conds"": [[2, 0, ""onpopuphidden""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[2, 0, ""onpopuphidden""]], ""count_star"": false}"
585,1-1507852-5, how many bubbles with category being input,SELECT COUNT(col4) FROM table WHERE col0 = 'Input',SELECT count(bubbles) FROM wikisql_data WHERE category = 'input',True,True,True,True,ok,"{""agg"": 3, ""sel"": 4, ""conds"": [[0, 0, ""input""]], ""count_star"": false}","{""agg"": 3, ""sel"": 4, ""conds"": [[0, 0, ""input""]], ""count_star"": false}"
586,1-1507852-5,what's the type with description being fires when the overflow state changes.,SELECT col1 FROM table WHERE col3 = 'Fires when the overflow state changes.',SELECT type FROM wikisql_data WHERE description = 'fires when the overflow state changes',False,True,True,False,"cond(gold=[[3, 0, 'fires when the overflow state changes.']] pred=[[3, 0, 'fires when the overflow state changes']])","{""agg"": 0, ""sel"": 1, ""conds"": [[3, 0, ""fires when the overflow state changes.""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[3, 0, ""fires when the overflow state changes""]], ""count_star"": false}"
587,1-1507852-5,what's the attribute with cancelable being yes,SELECT col2 FROM table WHERE col5 = 'Yes',SELECT attribute FROM wikisql_data WHERE cancelable = 'yes',True,True,True,True,ok,"{""agg"": 0, ""sel"": 2, ""conds"": [[5, 0, ""yes""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[5, 0, ""yes""]], ""count_star"": false}"
588,1-15185133-1,"How many viewers in millions for episode ""sokka's master""?","SELECT col7 FROM table WHERE col2 = '""Sokka's Master""'",SELECT viewers_millions FROM wikisql_data WHERE title = 'sokka\'s master',False,True,True,False,"cond(gold=[[2, 0, 'sokka']] pred=[[2, 0, 'sokka\\']])","{""agg"": 0, ""sel"": 7, ""conds"": [[2, 0, ""sokka""]], ""count_star"": false}","{""agg"": 0, ""sel"": 7, ""conds"": [[2, 0, ""sokka\\""]], ""count_star"": false}"
589,1-15185133-1,What is the original air date for the episode with a production code of 318?,SELECT col5 FROM table WHERE col6 = 318,SELECT original_air_date FROM wikisql_data WHERE production_code = '318',True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[6, 0, 318]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[6, 0, 318]], ""count_star"": false}"
590,1-15185133-1,What season has an episode written by john o'bryan and directed by ethan spaulding?,SELECT col1 FROM table WHERE col4 = 'John O'Bryan' AND col3 = 'Ethan Spaulding',SELECT no_in_season FROM wikisql_data WHERE written_by = 'john o\'bryan' AND directed_by = 'ethan spaulding',False,True,True,False,"cond(gold=[[4, 0, 'john o']] pred=[[4, 0, 'john o\\'], [3, 0, 'ethan spaulding']])","{""agg"": 0, ""sel"": 1, ""conds"": [[4, 0, ""john o""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[4, 0, ""john o\\""], [3, 0, ""ethan spaulding""]], ""count_star"": false}"
591,1-15185133-1,"What are all the numbers in the series with an episode title of ""the beach""?","SELECT col0 FROM table WHERE col2 = '""The Beach""'",SELECT no_in_series FROM wikisql_data WHERE title = 'the beach',True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[2, 0, ""the beach""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[2, 0, ""the beach""]], ""count_star"": false}"
592,1-15187735-17,how many segments involve wood boring augers,SELECT col3 FROM table WHERE col6 = 'Wood Boring Augers',SELECT COUNT(*) FROM wikisql_data WHERE segment_a = 'wood boring augers' OR segment_b = 'wood boring augers' OR segment_c = 'wood boring augers' OR segment_d = 'wood boring augers',False,False,False,False,"agg(gold=NONE pred=COUNT) | sel(gold=3=Segment A pred=-999=COUNT(*)) | cond(gold=[[6, 0, 'wood boring augers']] pred=[[3, 0, 'wood boring augers'], [4, 0, 'wood boring augers'], [5, 0, 'wood boring augers'], [6, 0, 'wood boring augers']])","{""agg"": 0, ""sel"": 3, ""conds"": [[6, 0, ""wood boring augers""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[3, 0, ""wood boring augers""], [4, 0, ""wood boring augers""], [5, 0, ""wood boring augers""], [6, 0, ""wood boring augers""]], ""count_star"": true}"
593,1-15187735-17,"for the shows featuring beet sugar, what was on before that",SELECT col4 FROM table WHERE col5 = 'Beet Sugar',SELECT segment_a FROM wikisql_data WHERE segment_b = 'beet sugar',False,True,False,False,"sel(gold=4=Segment B pred=3=Segment A) | cond(gold=[[5, 0, 'beet sugar']] pred=[[4, 0, 'beet sugar']])","{""agg"": 0, ""sel"": 4, ""conds"": [[5, 0, ""beet sugar""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[4, 0, ""beet sugar""]], ""count_star"": false}"
594,1-15187735-17,are rolled wafers in many episodes,SELECT col0 FROM table WHERE col3 = 'Rolled Wafers',SELECT COUNT(*) FROM wikisql_data WHERE segment_a = 'rolled wafers',False,False,False,True,agg(gold=NONE pred=COUNT) | sel(gold=0=Series Ep. pred=-999=COUNT(*)),"{""agg"": 0, ""sel"": 0, ""conds"": [[3, 0, ""rolled wafers""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[3, 0, ""rolled wafers""]], ""count_star"": true}"
595,1-15301258-1,Name the best actor for uncle boonmee who can recall his past lives,SELECT col3 FROM table WHERE col1 = 'Uncle Boonmee Who Can Recall His Past Lives',SELECT best_actor FROM wikisql_data WHERE best_director = 'uncle boonmee who can recall his past lives',False,True,True,False,"cond(gold=[[1, 0, 'uncle boonmee who can recall his past lives']] pred=[[2, 0, 'uncle boonmee who can recall his past lives']])","{""agg"": 0, ""sel"": 3, ""conds"": [[1, 0, ""uncle boonmee who can recall his past lives""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[2, 0, ""uncle boonmee who can recall his past lives""]], ""count_star"": false}"
596,1-15301258-1,Name the best director for mother,SELECT col2 FROM table WHERE col1 = 'Mother',SELECT best_director FROM wikisql_data WHERE best_actress = 'mother',False,True,True,False,"cond(gold=[[1, 0, 'mother']] pred=[[4, 0, 'mother']])","{""agg"": 0, ""sel"": 2, ""conds"": [[1, 0, ""mother""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[4, 0, ""mother""]], ""count_star"": false}"
597,1-15301258-1,Name the year for sammo hung for ip man 2,SELECT col0 FROM table WHERE col5 = 'Sammo Hung for Ip Man 2',SELECT year FROM wikisql_data WHERE best_director = 'sammo hung' AND best_film = 'ip man 2',False,True,True,False,"cond(gold=[[5, 0, 'sammo hung for ip man 2']] pred=[[2, 0, 'sammo hung'], [1, 0, 'ip man 2']])","{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""sammo hung for ip man 2""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[2, 0, ""sammo hung""], [1, 0, ""ip man 2""]], ""count_star"": false}"
598,1-15301258-1,Name the best supporting actress for sun honglei for mongol,SELECT col6 FROM table WHERE col5 = 'Sun Honglei for Mongol',SELECT best_supporting_actress FROM wikisql_data WHERE best_director = 'sergei bodrov',False,True,True,False,"cond(gold=[[5, 0, 'sun honglei for mongol']] pred=[[2, 0, 'sergei bodrov']])","{""agg"": 0, ""sel"": 6, ""conds"": [[5, 0, ""sun honglei for mongol""]], ""count_star"": false}","{""agg"": 0, ""sel"": 6, ""conds"": [[2, 0, ""sergei bodrov""]], ""count_star"": false}"
599,1-1529260-2,How many years was Jiyai Shin the champion?,SELECT COUNT(col0) FROM table WHERE col2 = 'Jiyai Shin',SELECT COUNT(*) FROM wikisql_data WHERE champion = 'jiyai shin',False,True,False,True,sel(gold=0=Year pred=-999=COUNT(*)),"{""agg"": 3, ""sel"": 0, ""conds"": [[2, 0, ""jiyai shin""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[2, 0, ""jiyai shin""]], ""count_star"": true}"
600,1-1529260-2,What countries have a margin of victory at 6 strokes?,SELECT col3 FROM table WHERE col6 = '6 strokes',SELECT country FROM wikisql_data WHERE margin_of_victory = 6,False,True,True,False,"cond(gold=[[6, 0, '6 strokes']] pred=[[6, 0, 6]])","{""agg"": 0, ""sel"": 3, ""conds"": [[6, 0, ""6 strokes""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[6, 0, 6]], ""count_star"": false}"
601,1-1529260-2,How many dollars is the purse when the margin of victory is 8 strokes?,SELECT COUNT(col7) FROM table WHERE col6 = '8 strokes',SELECT purse_us FROM wikisql_data WHERE margin_of_victory = 8,False,False,True,False,"agg(gold=COUNT pred=NONE) | cond(gold=[[6, 0, '8 strokes']] pred=[[6, 0, 8]])","{""agg"": 3, ""sel"": 7, ""conds"": [[6, 0, ""8 strokes""]], ""count_star"": false}","{""agg"": 0, ""sel"": 7, ""conds"": [[6, 0, 8]], ""count_star"": false}"
602,1-1529260-2,What is the lowest year listed?,SELECT MIN(col0) FROM table,SELECT MIN(year) FROM wikisql_data,True,True,True,True,ok,"{""agg"": 2, ""sel"": 0, ""conds"": [], ""count_star"": false}","{""agg"": 2, ""sel"": 0, ""conds"": [], ""count_star"": false}"
603,1-1529260-2,At what date is the score 66-72-64-65=267?,SELECT col1 FROM table WHERE col4 = '66-72-64-65=267',SELECT dates FROM wikisql_data WHERE score = '66-72-64-65=267',True,True,True,True,ok,"{""agg"": 0, ""sel"": 1, ""conds"": [[4, 0, ""66-72-64-65=267""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[4, 0, ""66-72-64-65=267""]], ""count_star"": false}"
604,1-15313204-1,How many teams are #2 on the list?,SELECT COUNT(col2) FROM table WHERE col0 = 2,SELECT COUNT(*) FROM wikisql_data WHERE col_x = 2,False,True,False,False,"sel(gold=2=Records pred=-999=COUNT(*)) | cond(gold=[[0, 0, 2]] pred=[])","{""agg"": 3, ""sel"": 2, ""conds"": [[0, 0, 2]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [], ""count_star"": true}"
605,1-15313204-1,What are the record(s) for the team with a winning percentage of .464?,SELECT col2 FROM table WHERE col3 = '.464',SELECT records FROM wikisql_data WHERE pct = '.464',True,True,True,True,ok,"{""agg"": 0, ""sel"": 2, ""conds"": [[3, 0, 0.464]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[3, 0, 0.464]], ""count_star"": false}"
606,1-15418319-1,Name the least for when played is 12,SELECT MIN(col7) FROM table WHERE col3 = 12,SELECT min(for_col) FROM wikisql_data WHERE played = 12,True,True,True,True,ok,"{""agg"": 2, ""sel"": 7, ""conds"": [[3, 0, 12]], ""count_star"": false}","{""agg"": 2, ""sel"": 7, ""conds"": [[3, 0, 12]], ""count_star"": false}"
607,1-15418319-1,Name the points for paulistano,SELECT col2 FROM table WHERE col1 = 'Paulistano',SELECT points FROM wikisql_data WHERE team = 'paulistano',True,True,True,True,ok,"{""agg"": 0, ""sel"": 2, ""conds"": [[1, 0, ""paulistano""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[1, 0, ""paulistano""]], ""count_star"": false}"
608,1-15418319-1,Name the most for when difference is 7,SELECT MAX(col7) FROM table WHERE col9 = '7',SELECT for_col FROM wikisql_data WHERE difference = 7 ORDER BY for_col DESC LIMIT 1,False,False,True,True,agg(gold=MAX pred=NONE),"{""agg"": 1, ""sel"": 7, ""conds"": [[9, 0, 7]], ""count_star"": false}","{""agg"": 0, ""sel"": 7, ""conds"": [[9, 0, 7]], ""count_star"": false}"
609,1-15472061-1,Name the total number of titles for 3020 production code,SELECT COUNT(col2) FROM table WHERE col6 = '3020',SELECT COUNT(title) FROM wikisql_data WHERE production_code = '3020',True,True,True,True,ok,"{""agg"": 3, ""sel"": 2, ""conds"": [[6, 0, 3020]], ""count_star"": false}","{""agg"": 3, ""sel"": 2, ""conds"": [[6, 0, 3020]], ""count_star"": false}"
610,1-15472061-1,Name the number in the series for when the viewers is 7.78,SELECT col0 FROM table WHERE col7 = '7.78',SELECT no_in_series FROM wikisql_data WHERE u_s_viewers_millions = 7.78,True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[7, 0, 7.78]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[7, 0, 7.78]], ""count_star"": false}"
611,1-15472061-1,Name the number of original air date for when the number in season is 10/11,SELECT COUNT(col5) FROM table WHERE col1 = '10/11',SELECT COUNT(original_air_date) FROM wikisql_data WHERE no_in_season = '10/11',True,True,True,True,ok,"{""agg"": 3, ""sel"": 5, ""conds"": [[1, 0, ""10/11""]], ""count_star"": false}","{""agg"": 3, ""sel"": 5, ""conds"": [[1, 0, ""10/11""]], ""count_star"": false}"
612,1-15530244-2,Which race number in the Indy F3 Challenge circuit had John Martin in pole position?,SELECT col1 FROM table WHERE col2 = 'Indy F3 Challenge' AND col4 = 'John Martin',SELECT round FROM wikisql_data WHERE circuit = 'indianapolis motor speedway' AND pole_position = 'john martin',False,True,False,False,"sel(gold=1=Race pred=0=Round) | cond(gold=[[2, 0, 'indy f3 challenge']] pred=[[2, 0, 'indianapolis motor speedway'], [4, 0, 'john martin']])","{""agg"": 0, ""sel"": 1, ""conds"": [[2, 0, ""indy f3 challenge""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[2, 0, ""indianapolis motor speedway""], [4, 0, ""john martin""]], ""count_star"": false}"
613,1-15530244-2,What is the highest race number in the Phillip Island circuit with James Winslow as the winning driver and pole position?,SELECT MAX(col1) FROM table WHERE col2 = 'Phillip Island' AND col6 = 'James Winslow' AND col4 = 'James Winslow',SELECT MAX(round) FROM wikisql_data WHERE circuit = 'phillip island' AND winning_driver = 'james winslow' AND pole_position = 'james winslow',False,True,False,False,"sel(gold=1=Race pred=0=Round) | cond(gold=[[2, 0, 'phillip island']] pred=[[2, 0, 'phillip island'], [6, 0, 'james winslow'], [4, 0, 'james winslow']])","{""agg"": 1, ""sel"": 1, ""conds"": [[2, 0, ""phillip island""]], ""count_star"": false}","{""agg"": 1, ""sel"": 0, ""conds"": [[2, 0, ""phillip island""], [6, 0, ""james winslow""], [4, 0, ""james winslow""]], ""count_star"": false}"
